Species;n;r_T
Wildebeest;43;0.37
Hartebeest;69;0.29
Genet;115;0.32
Kudu;165;0.32
Sable Antelope;172;0.34
Samango Monkey;186;0.34
Buffalo;257;0.35
Reedbuck;278;0.38
Mongoose;317;0.38
Bird;554;0.40
Civet;589;0.45
Bushpig;613;0.36
Oribi;649;0.39
Duiker;736;0.37
Nyala;794;0.38
Elephant;1200;0.40
Impala;1630;0.37
Waterbuck;3909;0.36
Warthog;6050;0.41
Bushbuck;6451;0.42
Baboon;13061;0.43
All Species;39391;0.45
